# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
39292.6000 M1317 214912 2 378.6000 grid009 grid0019 293 N grid009->grid000->grid0019
39302.4000 M1269 196152 3 1796.4000 grid11147 grid11128 270 N grid11147->grid11130->grid11129->grid11128
39405.9000 M1263 205921 2 2068.9000 grid11145 grid11135 265 N grid11145->grid11141->grid11135
39562.0000 M1296 244568 1 1256.0000 grid0265 grid0254 279 N grid0265->grid0254
39578.3000 M1328 137795 3 344.3000 grid0127 grid0130 294 N grid0127->grid0148->grid0147->grid0130
39609.0000 M1324 211299 3 489.0000 grid0128 grid0125 291 N grid0128->grid0140->grid0135->grid0125
39782.7000 M1297 170133 3 1447.7000 grid10117 grid10118 275 N grid10117->grid10119->grid10108->grid10118
39864.0000 M1333 227274 2 493.0000 grid0250 grid0253 291 N grid0250->grid0261->grid0253
40111.2000 M1341 194177 1 513.2000 grid10115 grid10104 291 N grid10115->grid10104
40130.7000 M1299 244881 3 1734.7000 grid0023 grid009 271 N grid0023->grid005->grid0010->grid009
40376.1000 M1340 228390 2 804.1000 grid0258 grid0257 286 N grid0258->grid0255->grid0257
40596.0000 M1323 131989 2 1501.0000 grid0019 grid008 274 N grid0019->grid000->grid008
40875.4000 M1345 228952 3 1156.4000 grid0022 grid0016 280 N grid0022->grid0011->grid0010->grid0016
40898.6000 M1364 186089 1 630.6000 grid10112 grid10111 289 N grid10112->grid10111
40977.8000 M1381 196825 1 194.8000 grid0256 grid0260 296 N grid0256->grid0260
41444.7000 M1385 158855 3 541.7000 grid0126 grid0139 290 N grid0126->grid0140->grid0146->grid0139
41973.2000 M1408 193794 2 392.2000 grid0138 grid0139 293 N grid0138->grid0130->grid0139
42255.6000 M1392 233675 4 1141.6000 grid11135 grid11147 280 N grid11135->grid11125->grid11131->grid11149->grid11147
42472.5000 M1435 249704 2 107.5000 grid10118 grid10120 298 N grid10118->grid10116->grid10120
42540.3000 M1389 163530 2 1516.3000 grid0127 grid0145 274 N grid0127->grid0147->grid0145
42550.7000 M1400 130031 4 1204.7000 grid0135 grid0125 279 N grid0135->grid0132->grid0140->grid0143->grid0125
43076.6000 M1423 163551 2 1067.6000 grid0387 grid0381 282 N grid0387->grid0391->grid0381
43146.8000 M1405 246762 1 1657.8000 grid11148 grid11145 272 N grid11148->grid11145
